name,chr,cds_start_pos,strand,start,end,sgd_name
YAL031W-A,1,84669,+,84669,84978,YAL031W-A
YAL031C,1,84749,-,84749,87032,FUN21
YAL030W,1,87286,+,87286,87753,YAL030W
YAL029C,1,87855,-,87855,92271,MYO4
YAL028W,1,92900,+,92900,94487,FRT2
YAL027W,1,94687,+,94687,95473,YAL027W
YAL026C-A,1,95386,-,95386,95824,YAL026C-A
YAL026C,1,95630,-,95630,99698,DRS2
YAL025C,1,100225,-,100225,101146,MAK16
YAL024C,1,101565,-,101565,105873,LTE1
YAL023C,1,106272,-,106272,108552,PMT2
YAL022C,1,108877,-,108877,110431,FUN26
YAL021C,1,110846,-,110846,113360,CCR4
YAL020C,1,113614,-,113614,114616,ATS1
YAL019W-A,1,114250,+,114250,114820,YAL019W-A
YAL019W,1,114919,+,114919,118315,FUN30
YAL018C,1,118564,-,118564,119542,YAL018C
YAL017W,1,120225,+,120225,124296,PSK1
YAL016C-B,1,124307,-,124307,124493,YAL016C-B
YAL016C-A,1,124755,-,124755,125070,YAL016C-A
YAL016W,1,124879,+,124879,126787,TPD3
YAL015C,1,126903,-,126903,128103,NTG1
YAL014C,1,128252,-,128252,129020,SYN8
YAL013W,1,129270,+,129270,130533,DEP1
YAL012W,1,130801,+,130801,131986,CYS3
YAL011W,1,132201,+,132201,134079,YAL011W
YAL010C,1,134185,-,134185,135667,MDM10
YAL009W,1,135855,+,135855,136635,SPO7
YAL008W,1,136915,+,136915,137512,FUN14
YAL007C,1,137699,-,137699,138347,ERP2
YAL005C,1,139504,-,139504,141433,SSA1
YAL004W,1,140761,+,140761,141409,YAL004W
YAL003W,1,142175,+,142175,143162,YAL003W
YAL002W,1,143708,+,143708,147533,VPS8
YAL001C,1,147595,-,147595,151168,YAL001C
YAR002W,1,152258,+,152258,153878,NUP60
YAR002C-A,1,154066,-,154066,154726,ERP1
YAR003W,1,155006,+,155006,156287,SWD1
YAR007C,1,156755,-,156755,158621,RFA1
YAR008W,1,158966,+,158966,159794,SEN34
YAR009C,1,160597,-,160597,164188,YAR009C
YAR010C,1,164544,-,164544,165867,YAR010C
YAR014C,1,166742,-,166742,168866,BUD14
YAR015W,1,169369,+,169369,170290,ADE1
YAR018C,1,170390,-,170390,171698,KIN3
YAR019C,1,172208,-,172208,175133,CDC15
YAR019W-A,1,174995,+,174995,175340,YAR019W-A
YAR020C,1,176853,-,176853,177021,PAU7
YAR023C,1,179278,-,179278,179818,YAR023C
YAR027W,1,183763,+,183763,184471,UIP3
YAR028W,1,184885,+,184885,185590,YAR028W
YAR029W,1,186314,+,186314,186539,YAR029W
YAR030C,1,186505,-,186505,186847,YAR030C
YAR031W,1,186829,+,186829,187726,PRM9
YAR033W,1,188100,+,188100,188805,MST28
YAR035W,1,190186,+,190186,192250,YAT1
YAR035C-A,1,192330,-,192330,192411,YAR035C-A
YAR042W,1,192612,+,192612,196179,SWH1
YAR047C,1,201459,-,201459,201780,YAR047C
YAR050W,1,203393,+,203393,208007,FLO1
YAR053W,1,208357,+,208357,208654,YAR053W
YAR060C,1,217147,-,217147,217483,YAR060C
YAR061W,1,218130,+,218130,218334,YAR061W
YAR062W,1,218539,+,218539,219136,YAR062W
YAR064W,1,220188,+,220188,220488,YAR064W
YAR066W,1,221039,+,221039,221651,YAR066W
YAR068W,1,222396,+,222396,222882,YAR068W
YAR069C,1,224001,-,224001,224295,YAR069C
YAR070C,1,224553,-,224553,224853,YAR070C
YAR071W,1,225450,+,225450,226854,PHO11
YAR073W,1,227732,+,227732,228944,IMD1
YAR075W,1,228834,+,228834,229308,YAR075W
YBL113C,2,279,-,279,2658,YBL113C
YBL113W-A,2,645,+,645,1128,YBL113W-A
YBL112C,2,2581,-,2581,2899,YBL112C
YBL111C,2,2906,-,2906,5009,YBL111C
YBL109W,2,5789,+,5789,6125,YBL109W
YBL108C-A,2,7604,-,7604,7733,YBL108C-A
YBL108W,2,8176,+,8176,8482,YBL108W
YBL107W-A,2,9267,+,9267,9372,YBL107W-A
YBL107C,2,9960,-,9960,10551,YBL107C
YBL106C,2,10846,-,10846,13879,SRO77
YBL105C,2,14240,-,14240,17696,PKC1
YBL104C,2,18176,-,18176,21293,YBL104C
YBL103C,2,22074,-,22074,23535,RTG3
YBL102W,2,24097,+,24097,24745,SFT2
YBL101C,2,24945,-,24945,28299,ECM21
YBL100W-C,2,28426,+,28426,28546,YBL100W-C
YBL100W-B,2,29931,+,29931,35245,YBL100W-B
YBL100W-A,2,29931,+,29931,31248,YBL100W-A
YBL100C,2,36985,-,36985,37300,YBL100C
YBL099W,2,37049,+,37049,38687,ATP1
YBL098W,2,39141,+,39141,40524,BNA4
YBL097W,2,40827,+,40827,43092,BRN1
YBL096C,2,43170,-,43170,43479,YBL096C
YBL095W,2,43273,+,43273,44086,YBL095W
YBL094C,2,43761,-,43761,44094,YBL094C
YBL093C,2,44252,-,44252,44915,ROX3
YBL092W,2,45974,+,45974,46367,RPL32
YBL091C-A,2,46561,-,46561,47177,YBL091C-A
YBL091C,2,47359,-,47359,48625,MAP2
YBL090W,2,48821,+,48821,49355,MRP21
YBL089W,2,49570,+,49570,50950,YBL089W
YBL088C,2,51015,-,51015,59379,TEL1
YBL087C,2,59817,-,59817,60735,YBL087C
YBL086C,2,61198,-,61198,62599,YBL086C
YBL085W,2,63872,+,63872,66815,BOI1
YBL084C,2,67165,-,67165,69442,CDC27
YBL083C,2,69709,-,69709,70135,YBL083C
YBL082C,2,69747,-,69747,71124,RHK1
YBL081W,2,71862,+,71862,72969,YBL081W
YBL080C,2,73066,-,73066,74692,PET112
YBL079W,2,75255,+,75255,79764,NUP170
YBL078C,2,80374,-,80374,80728,ATG8
YBL077W,2,80894,+,80894,81326,YBL077W
YBL076C,2,81040,-,81040,84259,ILS1
YBL075C,2,84496,-,84496,86446,SSA3
YBL074C,2,86719,-,86719,87787,AAR2
YBL073W,2,87643,+,87643,87955,YBL073W
YBL072C,2,88520,-,88520,89123,RPS8A
YBL071C-B,2,89455,-,89455,89554,YBL071C-B
YBL071W-A,2,89975,+,89975,90224,KTI11
YBL071C,2,90220,-,90220,90529,YBL071C
YBL070C,2,90602,-,90602,90923,YBL070C
YBL069W,2,90738,+,90738,92028,AST1
YBL068W-A,2,91791,+,91791,92028,YBL068W-A
YBL068W,2,92411,+,92411,93395,YBL068W
YBL067C,2,93640,-,93640,95884,UBP13
YBL066C,2,96670,-,96670,100117,SEF1
YBL065W,2,99964,+,99964,100309,YBL065W
YBL064C,2,100372,-,100372,101158,PRX1
YBL063W,2,101887,+,101887,105223,KIP1
YBL062W,2,105309,+,105309,105690,YBL062W
YBL061C,2,105317,-,105317,107408,SKT5
YBL060W,2,107933,+,107933,109997,YBL060W
YBL059C-A,2,110126,-,110126,110541,YBL059C-A
YBL059W,2,110595,+,110595,111246,YBL059W
YBL058W,2,111438,+,111438,112710,SHP1
YBL057C,2,112802,-,112802,113447,PTH2
YBL056W,2,113764,+,113764,115171,PTC3
YBL055C,2,115575,-,115575,116832,YBL055C
YBL054W,2,117591,+,117591,119169,YBL054W
YBL053W,2,119337,+,119337,119712,YBL053W
YBL052C,2,119381,-,119381,121877,SAS3
YBL051C,2,122755,-,122755,124762,PIN4
YBL050W,2,125127,+,125127,126122,YBL050W
YBL049W,2,126830,+,126830,127247,MOH1
YBL048W,2,127301,+,127301,127613,YBL048W
YBL047C,2,127897,-,127897,132043,EDE1
YBL046W,2,132426,+,132426,133752,YBL046W
YBL045C,2,134145,-,134145,135519,COR1
YBL044W,2,136000,+,136000,136369,YBL044W
YBL043W,2,136690,+,136690,137464,ECM13
YBL042C,2,138343,-,138343,140263,FUI1
YBL041W,2,141249,+,141249,141975,PRE7
YBL040C,2,142114,-,142114,142871,YBL040C
YBL039W-B,2,143395,+,143395,143575,YBL039W-B
YBL039C,2,143991,-,143991,145731,URA7
YBL039C-A,2,144950,-,144950,145034,YBL039C-A
YBL038W,2,146189,+,146189,146888,MRPL16
YBL037W,2,147211,+,147211,150289,APL3
YBL036C,2,150449,-,150449,151223,YBL036C
YBL035C,2,151495,-,151495,153613,POL12
YBL034C,2,153850,-,153850,158392,STU1
YBL033C,2,158658,-,158658,159696,RIB1
YBL032W,2,160186,+,160186,161332,HEK2
YBL031W,2,161701,+,161701,162718,SHE1
YBL030C,2,163043,-,163043,164000,PET9
YBL029C-A,2,164490,-,164490,164775,YBL029C-A
YBL029W,2,166136,+,166136,167267,YBL029W
YBL028C,2,167520,-,167520,167841,YBL028C
YBL027W,2,168425,+,168425,169379,YBL027W
YBL026W,2,170625,+,170625,171041,YBL026W
YBL025W,2,171483,+,171483,171921,RRN10
YBL024W,2,172536,+,172536,174591,NCL1
YBL023C,2,174922,-,174922,177529,MCM2
YBL022C,2,177876,-,177876,181278,PIM1
YBL021C,2,181662,-,181662,182097,HAP3
YBL020W,2,182403,+,182403,184128,RFT1
YBL019W,2,184355,+,184355,185918,APN2
YBL018C,2,186000,-,186000,186477,YBL018C
YBL017C,2,186846,-,186846,191586,PEP1
YBL016W,2,192453,+,192453,193515,FUS3
YBL015W,2,194124,+,194124,195705,ACH1
YBL014C,2,199066,-,199066,201751,RRN6
YBL013W,2,202058,+,202058,203264,FMT1
YBL012C,2,203408,-,203408,203810,YBL012C
YBL011W,2,203540,+,203540,205820,SCT1
YBL010C,2,206109,-,206109,206952,YBL010C
YBL009W,2,207196,+,207196,209227,YBL009W
YBL008W-A,2,209411,+,209411,209651,YBL008W-A
YBL008W,2,209655,+,209655,212178,HIR1
YBL007C,2,212634,-,212634,216369,SLA1
YBL006C,2,216589,-,216589,217132,LDB7
YBL006W-A,2,216713,+,216713,216863,YBL006W-A
YBL005W,2,217472,+,217472,220403,PDR3
YBL005W-B,2,221332,+,221332,226601,YBL005W-B
YBL005W-A,2,221332,+,221332,222655,YBL005W-A
YBL004W,2,227638,+,227638,235120,UTP20
YBL003C,2,235396,-,235396,235795,HTA2
YBL002W,2,236494,+,236494,236890,HTB2
YBL001C,2,237154,-,237154,237469,ECM15
YBR001C,2,238942,-,238942,241285,NTH2
YBR002C,2,241709,-,241709,242570,RER2
YBR003W,2,242810,+,242810,244232,COQ1
YBR004C,2,244367,-,244367,245669,YBR004C
YBR005W,2,245907,+,245907,246549,YBR005W
YBR006W,2,247011,+,247011,248505,UGA2
YBR007C,2,248806,-,248806,251017,YBR007C
YBR008C,2,252563,-,252563,254210,FLR1
YBR009C,2,255370,-,255370,255682,HHF1
YBR010W,2,256328,+,256328,256739,HHT1
YBR011C,2,257109,-,257109,257973,IPP1
YBR012C,2,259144,-,259144,259564,YBR012C
YBR012W-B,2,259866,+,259866,265138,YBR012W-B
YBR012W-A,2,259866,+,259866,261189,YBR012W-A
YBR013C,2,265489,-,265489,265879,YBR013C
YBR014C,2,266724,-,266724,267336,YBR014C
YBR015C,2,267709,-,267709,269503,MNN2
YBR016W,2,270246,+,270246,270633,YBR016W
YBR017C,2,270946,-,270946,273703,KAP104
YBR018C,2,274426,-,274426,275527,GAL7
YBR019C,2,276252,-,276252,278352,GAL10
YBR020W,2,279020,+,279020,280607,GAL1
YBR021W,2,281442,+,281442,283344,FUR4
YBR022W,2,283737,+,283737,284271,YBR022W
YBR023C,2,284427,-,284427,287925,CHS3
YBR024W,2,289444,+,289444,290350,SCO2
YBR025C,2,290680,-,290680,291865,YBR025C
YBR026C,2,292876,-,292876,294019,ETR1
YBR027C,2,294023,-,294023,294356,YBR027C
YBR028C,2,294424,-,294424,296002,YBR028C
YBR029C,2,296368,-,296368,297742,CDS1
YBR030W,2,298291,+,298291,299950,YBR030W
YBR031W,2,300165,+,300165,301254,RPL4A
YBR032W,2,301518,+,301518,301821,YBR032W
YBR033W,2,301943,+,301943,304703,YBR033W
YBR034C,2,304929,-,304929,305976,HMT1
YBR035C,2,306268,-,306268,306955,PDX3
YBR036C,2,309080,-,309080,310313,CSG2
YBR037C,2,310563,-,310563,311451,SCO1
YBR038W,2,311896,+,311896,314788,CHS2
YBR039W,2,315574,+,315574,316510,ATP3
YBR040W,2,316967,+,316967,317864,FIG1
YBR041W,2,318265,+,318265,320275,FAT1
YBR042C,2,320415,-,320415,321609,YBR042C
YBR043C,2,321875,-,321875,323945,YBR043C
YBR044C,2,324336,-,324336,326058,TCM62
YBR045C,2,328368,-,328368,330090,GIP1
YBR046C,2,330504,-,330504,331509,ZTA1
YBR047W,2,331830,+,331830,332358,YBR047W
YBR048W,2,332828,+,332828,333810,YBR048W
YBR049C,2,334383,-,334383,336816,REB1
YBR050C,2,337180,-,337180,338197,REG2
YBR051W,2,337985,+,337985,338336,YBR051W
YBR052C,2,338717,-,338717,339350,YBR052C
YBR053C,2,339672,-,339672,340749,YBR053C
YBR054W,2,343098,+,343098,344133,YRO2
YBR055C,2,344599,-,344599,347299,PRP6
YBR056W,2,347876,+,347876,349382,YBR056W
YBR056W-A,2,351252,+,351252,351453,YBR056W-A
YBR056C-B,2,351290,-,351290,351449,YBR056C-B
YBR057C,2,352190,-,352190,353291,MUM2
YBR058C,2,353669,-,353669,356015,YBR058C
YBR058C-A,2,356321,-,356321,356564,TSC3
YBR059C,2,356858,-,356858,360185,AKL1
YBR060C,2,360649,-,360649,362512,ORC2
YBR061C,2,364784,-,364784,365717,TRM7
YBR062C,2,365973,-,365973,366598,YBR062C
YBR063C,2,366967,-,366967,368182,YBR063C
YBR064W,2,367760,+,367760,368189,YBR064W
YBR065C,2,368581,-,368581,369676,ECM2
YBR066C,2,370034,-,370034,370697,NRG2
YBR067C,2,372099,-,372099,372732,TIP1
YBR068C,2,373857,-,373857,375687,BAP2
YBR069C,2,376570,-,376570,378430,TAT1
YBR070C,2,379217,-,379217,379931,YBR070C
YBR071W,2,380407,+,380407,381043,YBR071W
YBR072W,2,382026,+,382026,382671,HSP26
YBR072C-A,2,382854,-,382854,383016,YBR072C-A
YBR073W,2,383208,+,383208,385983,YBR073W
YBR074W,2,386280,+,386280,389211,YBR074W
YBR076W,2,390368,+,390368,391388,ECM8
YBR076C-A,2,391344,-,391344,391611,YBR076C-A
YBR077C,2,391798,-,391798,392287,YBR077C
YBR078W,2,393117,+,393117,394854,YBR078W
YBR079C,2,395376,-,395376,398271,RPG1
YBR080C,2,398607,-,398607,400884,SEC18
YBR081C,2,401246,-,401246,405245,SPT7
YBR082C,2,406621,-,406621,407163,YBR082C
YBR083W,2,409162,+,409162,410623,TEC1
YBR084W,2,411047,+,411047,413975,MIS1
YBR084C-A,2,414179,-,414179,415255,YBR084C-A
YBR085W,2,415976,+,415976,416900,AAC3
YBR085C-A,2,418900,-,418900,419158,YBR085C-A
YBR086C,2,420194,-,420194,423035,IST2
YBR087W,2,423758,+,423758,424823,RFC5
YBR088C,2,424983,-,424983,425760,POL30
YBR089W,2,425176,+,425176,425776,YBR089W
YBR089C-A,2,426183,-,426183,426483,NHP6B
YBR090C,2,426326,-,426326,427052,YBR090C
YBR091C,2,427148,-,427148,427478,MRS5
YBR092C,2,427691,-,427691,429095,PHO3
YBR093C,2,429541,-,429541,430945,PHO5
YBR094W,2,432029,+,432029,434291,YBR094W
YBR095C,2,434399,-,434399,435692,YBR095C
YBR096W,2,436014,+,436014,436707,YBR096W
YBR097W,2,436944,+,436944,441309,VPS15
YBR098W,2,441508,+,441508,443584,MMS4
YBR099C,2,442917,-,442917,443301,YBR099C
YBR101C,2,443814,-,443814,444687,FES1
YBR102C,2,445055,-,445055,447317,EXO84
YBR103W,2,447702,+,447702,449310,SIF2
YBR103C-A,2,449313,-,449313,449457,YBR103C-A
YBR104W,2,449660,+,449660,450650,YMC2
YBR105C,2,450874,-,450874,451963,VID24
YBR106W,2,452651,+,452651,453218,PHO88
YBR107C,2,453786,-,453786,454524,IML3
YBR108W,2,454815,+,454815,457659,YBR108W
YBR109C,2,457912,-,457912,458356,CMD1
YBR109W-A,2,458601,+,458601,458826,YBR109W-A
YBR110W,2,458865,+,458865,460215,ALG1
YBR111C,2,461171,-,461171,461867,YSA1
YBR111W-A,2,462132,+,462132,462573,YBR111W-A
YBR112C,2,462863,-,462863,465764,CYC8
YBR113W,2,465559,+,465559,466042,YBR113W
YBR114W,2,467241,+,467241,469614,RAD16
YBR115C,2,469741,-,469741,473920,LYS2
YBR116C,2,474192,-,474192,474720,YBR116C
YBR117C,2,474385,-,474385,476431,TKL2
YBR118W,2,477664,+,477664,479041,TEF2
YBR119W,2,479331,+,479331,480317,YBR119W
YBR120C,2,480428,-,480428,480917,CBP6
YBR121C,2,481357,-,481357,483361,GRS1
YBR121C-A,2,482319,-,482319,482478,YBR121C-A
YBR122C,2,483963,-,483963,484497,YBR122C
YBR123C,2,484735,-,484735,486685,TFC1
YBR124W,2,486500,+,486500,486860,YBR124W
YBR125C,2,487192,-,487192,488374,PTC4
YBR126C,2,488898,-,488898,490386,TPS1
YBR126W-A,2,490843,+,490843,491050,YBR126W-A
YBR126W-B,2,490920,+,490920,491064,YBR126W-B
YBR127C,2,491262,-,491262,492816,VMA2
YBR128C,2,493074,-,493074,494109,ATG14
YBR129C,2,494346,-,494346,495333,OPY1
YBR130C,2,495585,-,495585,496863,SHE3
YBR131W,2,497156,+,497156,499271,CCZ1
YBR131C-A,2,497643,-,497643,497733,YBR131C-A
YBR132C,2,499645,-,499645,501436,AGP2
YBR133C,2,501797,-,501797,504281,HSL7
YBR134W,2,504236,+,504236,504638,YBR134W
YBR135W,2,504847,+,504847,505300,CKS1
YBR136W,2,505661,+,505661,512768,MEC1
YBR137W,2,513037,+,513037,513577,YBR137W
YBR138C,2,513755,-,513755,515330,YBR138C
YBR139W,2,515657,+,515657,517184,YBR139W
YBR140C,2,517343,-,517343,526622,IRA1
YBR141C,2,527018,-,527018,528032,YBR141C
YBR141W-A,2,527160,+,527160,527256,YBR141W-A
YBR142W,2,528310,+,528310,530632,MAK5
YBR143C,2,530862,-,530862,532176,SUP45
YBR144C,2,533228,-,533228,533543,YBR144C
YBR145W,2,533755,+,533755,534811,ADH5
YBR146W,2,535253,+,535253,536090,MRPS9
YBR147W,2,536568,+,536568,537459,YBR147W
YBR148W,2,537869,+,537869,539699,YSW1
YBR149W,2,539980,+,539980,541015,ARA1
YBR150C,2,541202,-,541202,544487,TBS1
YBR151W,2,545021,+,545021,545972,APD1
YBR152W,2,546369,+,546369,547245,SPP381
YBR153W,2,547453,+,547453,548188,RIB7
YBR154C,2,548355,-,548355,549003,RPB5
YBR155W,2,549764,+,549764,550922,CNS1
YBR156C,2,551097,-,551097,553194,SLI15
YBR157C,2,553536,-,553536,554304,ICS2
YBR158W,2,556542,+,556542,558192,AMN1
YBR159W,2,558678,+,558678,559722,YBR159W
YBR160W,2,560071,+,560071,560968,CDC28
YBR161W,2,561628,+,561628,562759,CSH1
YBR162C,2,563197,-,563197,564565,YBR162C
YBR162W-A,2,565225,+,565225,565423,YSY6
YBR163W,2,565717,+,565717,567475,DEM1
YBR164C,2,567869,-,567869,568421,ARL1
YBR165W,2,568846,+,568846,569680,UBS1
YBR166C,2,569836,-,569836,571195,TYR1
YBR167C,2,571462,-,571462,571885,POP7
YBR168W,2,572365,+,572365,573607,PEX32
YBR169C,2,573909,-,573909,575991,SSE2
YBR170C,2,576338,-,576338,578081,NPL4
YBR171W,2,578358,+,578358,578979,SEC66
YBR172C,2,579144,-,579144,581367,YBR172C
YBR173C,2,581720,-,581720,582167,UMP1
YBR174C,2,582332,-,582332,582647,YBR174C
YBR175W,2,582402,+,582402,583350,SWD3
YBR176W,2,583714,+,583714,584653,ECM31
YBR177C,2,584801,-,584801,586157,EHT1
YBR178W,2,586065,+,586065,586440,YBR178W
YBR179C,2,586541,-,586541,589109,FZO1
YBR180W,2,589735,+,589735,591454,DTR1
YBR181C,2,591706,-,591706,592769,YBR181C
YBR182C,2,593500,-,593500,594859,SMP1
YBR182C-A,2,595355,-,595355,595550,YBR182C-A
YBR183W,2,596109,+,596109,597060,YPC1
YBR184W,2,597357,+,597357,598929,YBR184W
YBR185C,2,599117,-,599117,599954,MBA1
YBR186W,2,600547,+,600547,602355,YBR186W
YBR187W,2,602628,+,602628,603471,YBR187W
YBR188C,2,603679,-,603679,604102,NTC20
YBR189W,2,604502,+,604502,605503,YBR189W
YBR190W,2,605960,+,605960,606272,YBR190W
YBR191W,2,606264,+,606264,607135,YBR191W
YBR191W-A,2,607143,+,607143,607218,YBR191W-A
YBR192W,2,607646,+,607646,608780,RIM2
YBR193C,2,609076,-,609076,609748,MED8
YBR194W,2,610032,+,610032,610404,YBR194W
YBR195C,2,610608,-,610608,611877,MSI1
YBR196C,2,612230,-,612230,613895,PGI1
YBR196C-A,2,614018,-,614018,614168,YBR196C-A
YBR196C-B,2,614520,-,614520,614625,YBR196C-B
YBR197C,2,615197,-,615197,615851,YBR197C
YBR198C,2,616121,-,616121,618518,TAF5
YBR199W,2,618903,+,618903,620298,KTR4
YBR200W,2,620866,+,620866,622522,BEM1
YBR200W-A,2,622977,+,622977,623142,YBR200W-A
YBR201W,2,623571,+,623571,624207,DER1
YBR201C-A,2,624488,-,624488,624692,YBR201C-A
YBR202W,2,625766,+,625766,628304,CDC47
YBR203W,2,629162,+,629162,631937,COS111
YBR204C,2,632248,-,632248,633376,YBR204C
YBR205W,2,633616,+,633616,634831,KTR3
YBR206W,2,634595,+,634595,634919,YBR206W
YBR207W,2,635140,+,635140,636538,FTH1
YBR208C,2,636697,-,636697,642205,DUR1/2
YBR209W,2,642577,+,642577,642895,YBR209W
YBR210W,2,645544,+,645544,645973,ERV15
YBR211C,2,646152,-,646152,647127,AME1
YBR212W,2,647880,+,647880,649899,NGR1
YBR213W,2,650362,+,650362,651187,MET8
YBR214W,2,651409,+,651409,652993,SDS24
YBR215W,2,653350,+,653350,655312,HPC2
YBR216C,2,655570,-,655570,657595,YBP1
YBR217W,2,657826,+,657826,658387,ATG12
YBR218C,2,658701,-,658701,662244,PYC2
YBR219C,2,662493,-,662493,663298,YBR219C
YBR220C,2,662989,-,662989,664672,YBR220C
YBR221C,2,665147,-,665147,666248,PDB1
YBR221W-A,2,666532,+,666532,666637,YBR221W-A
YBR222C,2,666714,-,666714,668346,PCS60
YBR223C,2,668657,-,668657,670292,TDP1
YBR223W-A,2,668715,+,668715,668835,YBR223W-A
YBR224W,2,670119,+,670119,670635,YBR224W
YBR225W,2,670621,+,670621,673324,YBR225W
YBR226C,2,673149,-,673149,673560,YBR226C
YBR227C,2,673566,-,673566,675129,MCX1
YBR228W,2,675307,+,675307,676222,SLX1
YBR229C,2,676351,-,676351,679216,ROT2
YBR230C,2,679543,-,679543,680045,YBR230C
YBR230W-A,2,680356,+,680356,680557,YBR230W-A
YBR231C,2,682173,-,682173,683085,SWC5
YBR232C,2,683367,-,683367,683727,YBR232C
YBR233W,2,683422,+,683422,684664,PBP2
YBR233W-A,2,684971,+,684971,685256,DAD3
YBR234C,2,685432,-,685432,686587,ARC40
YBR235W,2,686895,+,686895,690258,YBR235W
YBR236C,2,690377,-,690377,691688,ABD1
YBR237W,2,691963,+,691963,694513,PRP5
YBR238C,2,695101,-,695101,697297,YBR238C
YBR239C,2,698348,-,698348,699938,YBR239C
YBR240C,2,700484,-,700484,701837,THI2
YBR241C,2,702583,-,702583,704050,YBR241C
YBR242W,2,704664,+,704664,705381,YBR242W
YBR243C,2,705441,-,705441,706788,ALG7
YBR244W,2,707522,+,707522,708011,GPX2
YBR245C,2,708144,-,708144,711534,ISW1
YBR246W,2,711585,+,711585,712749,YBR246W
YBR247C,2,712998,-,712998,714450,ENP1
YBR248C,2,714801,-,714801,716460,HIS7
YBR249C,2,716876,-,716876,717989,ARO4
YBR250W,2,719027,+,719027,720599,YBR250W
YBR251W,2,721384,+,721384,722308,MRPS5
YBR252W,2,722605,+,722605,723049,DUT1
YBR253W,2,723264,+,723264,723630,SRB6
YBR254C,2,723730,-,723730,724258,TRS20
YBR255W,2,724450,+,724450,726535,YBR255W
YBR255C-A,2,726612,-,726612,727069,YBR255C-A
YBR256C,2,727380,-,727380,728097,RIB5
YBR257W,2,728879,+,728879,729719,POP4
YBR258C,2,729728,-,729728,730157,SHG1
YBR259W,2,730381,+,730381,732448,YBR259W
YBR260C,2,732633,-,732633,734634,RGD1
YBR261C,2,734826,-,734826,735525,YBR261C
YBR262C,2,735714,-,735714,736035,YBR262C
YBR263W,2,736258,+,736258,737731,YBR263W
YBR264C,2,737764,-,737764,738364,YBR264C
YBR265W,2,738576,+,738576,739539,TSC10
YBR267W,2,739835,+,739835,741017,REI1
YBR266C,2,739930,-,739930,740383,YBR266C
YBR268W,2,741293,+,741293,741611,MRPL37
YBR269C,2,742154,-,742154,742571,YBR269C
YBR270C,2,742755,-,742755,744393,YBR270C
YBR271W,2,744846,+,744846,746106,YBR271W
YBR272C,2,746355,-,746355,747798,HSM3
YBR273C,2,748055,-,748055,749366,UBX7
YBR274W,2,749588,+,749588,751172,CHK1
YBR275C,2,751350,-,751350,757101,RIF1
YBR276C,2,757615,-,757615,760039,PPS1
YBR277C,2,760210,-,760210,760612,YBR277C
YBR278W,2,760289,+,760289,760895,DPB3
YBR279W,2,761252,+,761252,762590,PAF1
YBR280C,2,762779,-,762779,764693,YBR280C
YBR281C,2,764965,-,764965,767602,YBR281C
YBR282W,2,768235,+,768235,768676,MRPL27
